x,R,G,B,min_over_frames_G,max_over_frames_G
0,1023,1023,1023,1023,1023
1,1023,1023,1023,1023,1023
2,1023,1023,1023,1023,1023
3,1023,1023,1023,1023,1023
4,1023,1023,1023,1023,1023
5,1023,1023,1023,1023,1023
6,1023,1023,1023,1023,1023
7,1023,1023,1023,1023,1023
8,1023,1023,1023,1023,1023
9,1023,1023,1023,1023,1023
10,1023,1023,1023,1023,1023
11,1023,1023,1023,1023,1023
12,1023,1023,1023,1023,1023
13,1023,1023,1023,1023,1023
14,1023,1023,1023,1023,1023
15,1023,1023,1023,1023,1023
16,1023,1023,1023,1023,1023
17,1023,1023,1023,1023,1023
18,1023,1023,1023,1023,1023
19,1023,1023,1023,1023,1023
20,1023,1023,1023,1023,1023
21,1023,1023,1023,1023,1023
22,1023,1023,1023,1023,1023
23,1023,1023,1023,1023,1023
24,1023,1023,1023,1023,1023
25,1023,1023,1023,1023,1023
26,1023,1023,1023,1023,1023
27,1023,1023,1023,1023,1023
28,1023,1023,1023,1023,1023
29,1023,1023,1023,1023,1023
30,1023,1023,1023,1023,1023
31,1023,1023,1023,1023,1023
32,1023,1023,1023,1023,1023
33,1023,1023,1023,1023,1023
34,1023,1023,1023,1023,1023
35,1023,1023,1023,1023,1023
36,1023,1023,1023,1023,1023
37,1023,1023,1023,1023,1023
38,1023,1023,1023,1023,1023
39,1023,1023,1023,1023,1023
40,1023,1023,1023,1023,1023
41,1023,1023,1023,1023,1023
42,1023,1023,1023,1023,1023
43,1023,1023,1023,1023,1023
44,1023,1023,1023,1023,1023
45,1023,1023,1023,1023,1023
46,1023,1023,1023,1023,1023
47,1023,1023,1023,1023,1023
48,1023,1023,1023,1023,1023
49,1023,1023,1023,1023,1023
50,1023,1023,1023,1023,1023
51,1023,1023,1023,1023,1023
52,1023,1023,1023,1023,1023
53,1023,1023,1023,1023,1023
54,1023,1023,1023,1023,1023
55,1023,1023,1023,1023,1023
56,1023,1023,1023,1023,1023
57,1023,1023,1023,1023,1023
58,1023,1023,1023,1023,1023
59,1023,1023,1023,1023,1023
60,1023,1023,1023,1023,1023
61,1023,1023,1023,1023,1023
62,1023,1023,1023,1023,1023
63,1023,1023,1023,1023,1023
64,1023,1023,1023,1023,1023
65,1023,1023,1023,1023,1023
66,1023,1023,1023,1023,1023
67,1023,1023,1023,1023,1023
68,1023,1023,1023,1023,1023
69,1023,1023,1023,1023,1023
70,1023,1023,1023,1023,1023
71,1023,1023,1023,1023,1023
72,1023,1023,1023,1023,1023
73,1023,1023,1023,1023,1023
74,1023,1023,1023,1023,1023
75,1023,1023,1023,1023,1023
76,1023,1023,1023,1023,1023
77,1023,1023,1023,1023,1023
78,1023,1023,1023,1023,1023
79,1023,1023,1023,1023,1023
80,1023,1023,1023,1023,1023
81,1023,1023,1023,1023,1023
82,1023,1023,1023,1023,1023
83,1023,1023,1023,1023,1023
84,1023,1023,1023,1023,1023
85,1023,1023,1023,1023,1023
86,1023,1023,1023,1023,1023
87,1023,1023,1023,1023,1023
88,1023,1023,1023,1023,1023
89,1023,1023,1023,1023,1023
90,1023,1023,1023,1023,1023
91,1023,1023,1023,1023,1023
92,1023,1023,1023,1023,1023
93,1023,1023,1023,1023,1023
94,1023,1023,1023,1023,1023
95,1023,1023,1023,1023,1023
96,1023,1023,1023,1023,1023
97,1023,1023,1023,1023,1023
98,1023,1023,1023,1023,1023
99,1023,1023,1023,1023,1023
100,1023,1023,1023,1023,1023
101,1023,1023,1023,1023,1023
102,1023,1023,1023,1023,1023
103,1023,1023,1023,1023,1023
104,1023,1023,1023,1023,1023
105,1023,1023,1023,1023,1023
106,1023,1023,1023,1023,1023
107,1023,1023,1023,1023,1023
108,1023,1023,1023,1023,1023
109,1023,1023,1023,1023,1023
110,1023,1023,1023,1023,1023
111,1023,1023,1023,1023,1023
112,1023,1023,1023,1023,1023
113,1023,1023,1023,1023,1023
114,1023,1023,1023,1023,1023
115,1023,1023,1023,1023,1023
116,1023,1023,1023,1023,1023
117,1023,1023,1023,1023,1023
118,1023,1023,1023,1023,1023
119,1023,1023,1023,1023,1023
120,1023,1023,1023,1023,1023
121,1023,1023,1023,1023,1023
122,1023,1023,1023,1023,1023
123,1023,1023,1023,1023,1023
124,1023,1023,1023,1023,1023
125,1023,1023,1023,1023,1023
126,1023,1023,1023,1023,1023
127,1023,1023,1023,1023,1023
128,1023,1023,1023,1023,1023
129,1023,1023,1023,1023,1023
130,1023,1023,1023,1023,1023
131,1023,1023,1023,1023,1023
132,1023,1023,1023,1023,1023
133,1023,1023,1023,1023,1023
134,1023,1023,1023,1023,1023
135,1023,1023,1023,1023,1023
136,1023,1023,1023,1023,1023
137,1023,1023,1023,1023,1023
138,1023,1023,1023,1023,1023
139,1023,1023,1023,1023,1023
140,1023,1023,1023,1023,1023
141,1023,1023,1023,1023,1023
142,1023,1023,1023,1023,1023
143,1023,1023,1023,1023,1023
144,1023,1023,1023,1023,1023
145,1023,1023,1023,1023,1023
146,1023,1023,1023,1023,1023
147,1023,1023,1023,1023,1023
148,1023,1023,1023,1023,1023
149,1023,1023,1023,1023,1023
150,1023,1023,1023,1023,1023
151,1023,1023,1023,1023,1023
152,1023,1023,1023,1023,1023
153,1023,1023,1023,1023,1023
154,1023,1023,1023,1023,1023
155,1023,1023,1023,1023,1023
156,1023,1023,1023,1023,1023
157,1023,1023,1023,1023,1023
158,1023,1023,1023,1023,1023
159,1023,1023,1023,1023,1023
160,1023,1023,1023,1023,1023
161,1023,1023,1023,1023,1023
162,1023,1023,1023,1023,1023
163,1023,1023,1023,1023,1023
164,1023,1023,1023,1023,1023
165,1023,1023,1023,1023,1023
166,1023,1023,1023,1023,1023
167,1023,1023,1023,1023,1023
168,1022,1022,1022,1022,1022
169,1022,1022,1022,1022,1022
170,1021,1021,1021,1021,1021
171,1021,1021,1021,1021,1021
172,1020,1020,1020,1020,1020
173,1020,1020,1020,1020,1020
174,1019,1019,1019,1019,1019
175,1019,1019,1019,1019,1019
176,1018,1018,1018,1018,1018
177,1018,1018,1018,1018,1018
178,1016,1016,1016,1016,1016
179,1016,1016,1016,1016,1016
180,1015,1015,1015,1015,1015
181,1015,1015,1015,1015,1015
182,1014,1014,1014,1014,1014
183,1014,1014,1014,1014,1014
184,1013,1013,1013,1013,1013
185,1013,1013,1013,1013,1013
186,1012,1012,1012,1012,1012
187,1012,1012,1012,1012,1012
188,1011,1011,1011,1011,1011
189,1011,1011,1011,1011,1011
190,1009,1009,1009,1009,1009
191,1009,1009,1009,1009,1009
192,1008,1008,1008,1008,1008
193,1008,1008,1008,1008,1008
194,1007,1007,1007,1007,1007
195,1007,1007,1007,1007,1007
196,1006,1006,1006,1006,1006
197,1006,1006,1006,1006,1006
198,1005,1005,1005,1005,1005
199,1005,1005,1005,1005,1005
200,1004,1004,1004,1004,1004
201,1004,1004,1004,1004,1004
202,1002,1002,1002,1002,1002
203,1002,1002,1002,1002,1002
204,1001,1001,1001,1001,1001
205,1001,1001,1001,1001,1001
206,1000,1000,1000,1000,1000
207,1000,1000,1000,1000,1000
208,999,999,999,999,999
209,999,999,999,999,999
210,998,998,998,998,998
211,998,998,998,998,998
212,997,997,997,997,997
213,997,997,997,997,997
214,995,995,995,995,995
215,995,995,995,995,995
216,994,994,994,994,994
217,994,994,994,994,994
218,993,993,993,993,993
219,993,993,993,993,993
220,992,992,992,992,992
221,992,992,992,992,992
222,991,991,991,991,991
223,991,991,991,991,991
224,990,990,990,990,990
225,990,990,990,990,990
226,988,988,988,988,988
227,988,988,988,988,988
228,987,987,987,987,987
229,987,987,987,987,987
230,986,986,986,986,986
231,986,986,986,986,986
232,985,985,985,985,985
233,985,985,985,985,985
234,984,984,984,984,984
235,984,984,984,984,984
236,983,983,983,983,983
237,983,983,983,983,983
238,981,981,981,981,981
239,981,981,981,981,981
240,980,980,980,980,980
241,980,980,980,980,980
242,979,979,979,979,979
243,979,979,979,979,979
244,978,978,978,978,978
245,978,978,978,978,978
246,977,977,977,977,977
247,977,977,977,977,977
248,976,976,976,976,976
249,976,976,976,976,976
250,974,974,974,974,974
251,974,974,974,974,974
252,973,973,973,973,973
253,973,973,973,973,973
254,972,972,972,972,972
255,972,972,972,972,972
256,971,971,971,971,971
257,971,971,971,971,971
258,970,970,970,970,970
259,970,970,970,970,970
260,969,969,969,969,969
261,969,969,969,969,969
262,967,967,967,967,967
263,967,967,967,967,967
264,966,966,966,966,966
265,966,966,966,966,966
266,965,965,965,965,965
267,965,965,965,965,965
268,964,964,964,964,964
269,964,964,964,964,964
270,963,963,963,963,963
271,963,963,963,963,963
272,962,962,962,962,962
273,962,962,962,962,962
274,960,960,960,960,960
275,960,960,960,960,960
276,959,959,959,959,959
277,959,959,959,959,959
278,958,958,958,958,958
279,958,958,958,958,958
280,957,957,957,957,957
281,957,957,957,957,957
282,956,956,956,956,956
283,956,956,956,956,956
284,955,955,955,955,955
285,955,955,955,955,955
286,953,953,953,953,953
287,953,953,953,953,953
288,952,952,952,952,952
289,952,952,952,952,952
290,951,951,951,951,951
291,951,951,951,951,951
292,950,950,950,950,950
293,950,950,950,950,950
294,949,949,949,949,949
295,949,949,949,949,949
296,948,948,948,948,948
297,948,948,948,948,948
298,946,946,946,946,946
299,946,946,946,946,946
300,945,945,945,945,945
301,945,945,945,945,945
302,944,944,944,944,944
303,944,944,944,944,944
304,943,943,943,943,943
305,943,943,943,943,943
306,942,942,942,942,942
307,942,942,942,942,942
308,941,941,941,941,941
309,941,941,941,941,941
310,939,939,939,939,939
311,939,939,939,939,939
312,938,938,938,938,938
313,938,938,938,938,938
314,937,937,937,937,937
315,937,937,937,937,937
316,936,936,936,936,936
317,936,936,936,936,936
318,935,935,935,935,935
319,935,935,935,935,935
320,934,934,934,934,934
321,934,934,934,934,934
322,932,932,932,932,932
323,932,932,932,932,932
324,931,931,931,931,931
325,931,931,931,931,931
326,930,930,930,930,930
327,930,930,930,930,930
328,929,929,929,929,929
329,929,929,929,929,929
330,928,928,928,928,928
331,928,928,928,928,928
332,926,926,926,926,926
333,926,926,926,926,926
334,925,925,925,925,925
335,925,925,925,925,925
336,924,924,924,924,924
337,924,924,924,924,924
338,923,923,923,923,923
339,923,923,923,923,923
340,922,922,922,922,922
341,922,922,922,922,922
342,921,921,921,921,921
343,921,921,921,921,921
344,919,919,919,919,919
345,919,919,919,919,919
346,918,918,918,918,918
347,918,918,918,918,918
348,917,917,917,917,917
349,917,917,917,917,917
350,916,916,916,916,916
351,916,916,916,916,916
352,915,915,915,915,915
353,915,915,915,915,915
354,914,914,914,914,914
355,914,914,914,914,914
356,913,913,913,913,913
357,913,913,913,913,913
358,911,911,911,911,911
359,911,911,911,911,911
360,910,910,910,910,910
361,910,910,910,910,910
362,909,909,909,909,909
363,909,909,909,909,909
364,908,908,908,908,908
365,908,908,908,908,908
366,907,907,907,907,907
367,907,907,907,907,907
368,906,906,906,906,906
369,906,906,906,906,906
370,904,904,904,904,904
371,904,904,904,904,904
372,903,903,903,903,903
373,903,903,903,903,903
374,902,902,902,902,902
375,902,902,902,902,902
376,901,901,901,901,901
377,901,901,901,901,901
378,900,900,900,900,900
379,900,900,900,900,900
380,898,898,898,898,898
381,898,898,898,898,898
382,897,897,897,897,897
383,897,897,897,897,897
384,896,896,896,896,896
385,896,896,896,896,896
386,895,895,895,895,895
387,895,895,895,895,895
388,894,894,894,894,894
389,894,894,894,894,894
390,893,893,893,893,893
391,893,893,893,893,893
392,892,892,892,892,892
393,892,892,892,892,892
394,890,890,890,890,890
395,890,890,890,890,890
396,889,889,889,889,889
397,889,889,889,889,889
398,888,888,888,888,888
399,888,888,888,888,888
400,887,887,887,887,887
401,887,887,887,887,887
402,886,886,886,886,886
403,886,886,886,886,886
404,884,884,884,884,884
405,884,884,884,884,884
406,883,883,883,883,883
407,883,883,883,883,883
408,882,882,882,882,882
409,882,882,882,882,882
410,881,881,881,881,881
411,881,881,881,881,881
412,880,880,880,880,880
413,880,880,880,880,880
414,879,879,879,879,879
415,879,879,879,879,879
416,877,877,877,877,877
417,877,877,877,877,877
418,876,876,876,876,876
419,876,876,876,876,876
420,875,875,875,875,875
421,875,875,875,875,875
422,874,874,874,874,874
423,874,874,874,874,874
424,873,873,873,873,873
425,873,873,873,873,873
426,872,872,872,872,872
427,872,872,872,872,872
428,870,870,870,870,870
429,870,870,870,870,870
430,869,869,869,869,869
431,869,869,869,869,869
432,868,868,868,868,868
433,868,868,868,868,868
434,867,867,867,867,867
435,867,867,867,867,867
436,866,866,866,866,866
437,866,866,866,866,866
