x,R,G,B,min_over_frames_G,max_over_frames_G
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,2,2,2,2,2
9,2,2,2,2,2
10,2,2,2,2,2
11,2,2,2,2,2
12,2,2,2,2,2
13,3,3,3,3,3
14,3,3,3,3,3
15,3,3,3,3,3
16,3,3,3,3,3
17,3,3,3,3,3
18,3,3,3,3,3
19,3,3,3,3,3
20,3,3,3,3,3
21,3,3,3,3,3
22,5,5,5,5,5
23,5,5,5,5,5
24,5,5,5,5,5
25,5,5,5,5,5
26,6,6,6,6,6
27,6,6,6,6,6
28,6,6,6,6,6
29,6,6,6,6,6
30,6,6,6,6,6
31,7,7,7,7,7
32,7,7,7,7,7
33,7,7,7,7,7
34,7,7,7,7,7
35,7,7,7,7,7
36,7,7,7,7,7
37,7,7,7,7,7
38,7,7,7,7,7
39,7,7,7,7,7
40,8,8,8,8,8
41,8,8,8,8,8
42,8,8,8,8,8
43,8,8,8,8,8
44,10,10,10,10,10
45,10,10,10,10,10
46,10,10,10,10,10
47,10,10,10,10,10
48,10,10,10,10,10
49,10,10,10,10,10
50,10,10,10,10,10
51,10,10,10,10,10
52,10,10,10,10,10
53,11,11,11,11,11
54,11,11,11,11,11
55,11,11,11,11,11
56,11,11,11,11,11
57,11,11,11,11,11
58,12,12,12,12,12
59,12,12,12,12,12
60,12,12,12,12,12
61,12,12,12,12,12
62,13,13,13,13,13
63,13,13,13,13,13
64,13,13,13,13,13
65,13,13,13,13,13
66,13,13,13,13,13
67,14,14,14,14,14
68,14,14,14,14,14
69,14,14,14,14,14
70,14,14,14,14,14
71,15,15,15,15,15
72,15,15,15,15,15
73,15,15,15,15,15
74,15,15,15,15,15
75,15,15,15,15,15
76,17,17,17,17,17
77,17,17,17,17,17
78,17,17,17,17,17
79,17,17,17,17,17
80,17,17,17,17,17
81,17,17,17,17,17
82,17,17,17,17,17
83,17,17,17,17,17
84,17,17,17,17,17
85,18,18,18,18,18
86,18,18,18,18,18
87,18,18,18,18,18
88,18,18,18,18,18
89,18,18,18,18,18
90,19,19,19,19,19
91,19,19,19,19,19
92,19,19,19,19,19
93,19,19,19,19,19
94,20,20,20,20,20
95,20,20,20,20,20
96,20,20,20,20,20
97,20,20,20,20,20
98,20,20,20,20,20
99,21,21,21,21,21
100,21,21,21,21,21
101,21,21,21,21,21
102,21,21,21,21,21
103,22,22,22,22,22
104,22,22,22,22,22
105,22,22,22,22,22
106,22,22,22,22,22
107,22,22,22,22,22
108,23,23,23,23,23
109,23,23,23,23,23
110,23,23,23,23,23
111,23,23,23,23,23
112,24,24,24,24,24
113,24,24,24,24,24
114,24,24,24,24,24
115,24,24,24,24,24
116,24,24,24,24,24
117,25,25,25,25,25
118,25,25,25,25,25
119,25,25,25,25,25
120,25,25,25,25,25
121,26,26,26,26,26
122,26,26,26,26,26
123,26,26,26,26,26
124,26,26,26,26,26
125,26,26,26,26,26
126,27,27,27,27,27
127,27,27,27,27,27
128,27,27,27,27,27
129,27,27,27,27,27
130,28,28,28,28,28
131,28,28,28,28,28
132,28,28,28,28,28
133,28,28,28,28,28
134,28,28,28,28,28
135,29,29,29,29,29
136,29,29,29,29,29
137,29,29,29,29,29
138,29,29,29,29,29
139,30,30,30,30,30
140,30,30,30,30,30
141,30,30,30,30,30
142,30,30,30,30,30
143,30,30,30,30,30
144,31,31,31,31,31
145,31,31,31,31,31
146,31,31,31,31,31
147,31,31,31,31,31
148,32,32,32,32,32
149,32,32,32,32,32
150,32,32,32,32,32
151,32,32,32,32,32
152,32,32,32,32,32
153,33,33,33,33,33
154,33,33,33,33,33
155,33,33,33,33,33
156,33,33,33,33,33
157,34,34,34,34,34
158,34,34,34,34,34
159,34,34,34,34,34
160,34,34,34,34,34
161,34,34,34,34,34
162,35,35,35,35,35
163,35,35,35,35,35
164,35,35,35,35,35
165,35,35,35,35,35
166,36,36,36,36,36
167,36,36,36,36,36
168,36,36,36,36,36
169,36,36,36,36,36
170,36,36,36,36,36
171,38,38,38,38,38
172,38,38,38,38,38
173,38,38,38,38,38
174,38,38,38,38,38
175,38,38,38,38,38
176,39,39,39,39,39
177,39,39,39,39,39
178,39,39,39,39,39
179,39,39,39,39,39
180,40,40,40,40,40
181,40,40,40,40,40
182,40,40,40,40,40
183,40,40,40,40,40
184,40,40,40,40,40
185,40,40,40,40,40
186,40,40,40,40,40
187,40,40,40,40,40
188,40,40,40,40,40
189,41,41,41,41,41
190,41,41,41,41,41
191,41,41,41,41,41
192,41,41,41,41,41
193,41,41,41,41,41
194,42,42,42,42,42
195,42,42,42,42,42
196,42,42,42,42,42
197,42,42,42,42,42
198,43,43,43,43,43
199,43,43,43,43,43
200,43,43,43,43,43
201,43,43,43,43,43
202,43,43,43,43,43
203,44,44,44,44,44
204,44,44,44,44,44
205,44,44,44,44,44
206,44,44,44,44,44
207,46,46,46,46,46
208,46,46,46,46,46
209,46,46,46,46,46
210,46,46,46,46,46
211,46,46,46,46,46
212,47,47,47,47,47
213,47,47,47,47,47
214,47,47,47,47,47
215,47,47,47,47,47
216,48,48,48,48,48
217,48,48,48,48,48
218,48,48,48,48,48
219,48,48,48,48,48
220,48,48,48,48,48
221,48,48,48,48,48
222,48,48,48,48,48
223,48,48,48,48,48
224,48,48,48,48,48
225,49,49,49,49,49
226,49,49,49,49,49
227,49,49,49,49,49
228,49,49,49,49,49
229,49,49,49,49,49
230,50,50,50,50,50
231,50,50,50,50,50
232,50,50,50,50,50
233,50,50,50,50,50
234,52,52,52,52,52
235,52,52,52,52,52
236,52,52,52,52,52
237,52,52,52,52,52
238,52,52,52,52,52
239,52,52,52,52,52
240,52,52,52,52,52
241,52,52,52,52,52
242,52,52,52,52,52
243,53,53,53,53,53
244,53,53,53,53,53
245,53,53,53,53,53
246,53,53,53,53,53
247,53,53,53,53,53
248,55,55,55,55,55
249,55,55,55,55,55
250,55,55,55,55,55
251,55,55,55,55,55
252,55,55,55,55,55
253,56,56,56,56,56
254,56,56,56,56,56
255,56,56,56,56,56
256,56,56,56,56,56
257,57,57,57,57,57
258,57,57,57,57,57
259,57,57,57,57,57
260,57,57,57,57,57
261,57,57,57,57,57
262,57,57,57,57,57
263,57,57,57,57,57
264,57,57,57,57,57
265,57,57,57,57,57
266,59,59,59,59,59
267,59,59,59,59,59
268,59,59,59,59,59
269,59,59,59,59,59
270,59,59,59,59,59
271,60,60,60,60,60
272,60,60,60,60,60
273,60,60,60,60,60
274,60,60,60,60,60
275,60,60,60,60,60
276,60,60,60,60,60
277,60,60,60,60,60
278,60,60,60,60,60
279,60,60,60,60,60
280,62,62,62,62,62
281,62,62,62,62,62
282,62,62,62,62,62
283,62,62,62,62,62
284,63,63,63,63,63
285,63,63,63,63,63
286,63,63,63,63,63
287,63,63,63,63,63
288,63,63,63,63,63
289,63,63,63,63,63
290,63,63,63,63,63
291,63,63,63,63,63
292,63,63,63,63,63
293,63,63,63,63,63
294,65,65,65,65,65
295,65,65,65,65,65
296,65,65,65,65,65
297,65,65,65,65,65
298,66,66,66,66,66
299,66,66,66,66,66
300,66,66,66,66,66
301,66,66,66,66,66
302,66,66,66,66,66
303,67,67,67,67,67
304,67,67,67,67,67
305,67,67,67,67,67
306,67,67,67,67,67
307,68,68,68,68,68
308,68,68,68,68,68
309,68,68,68,68,68
310,68,68,68,68,68
311,68,68,68,68,68
312,68,68,68,68,68
313,68,68,68,68,68
314,68,68,68,68,68
315,68,68,68,68,68
316,69,69,69,69,69
317,69,69,69,69,69
318,69,69,69,69,69
319,69,69,69,69,69
320,69,69,69,69,69
321,70,70,70,70,70
322,70,70,70,70,70
323,70,70,70,70,70
324,70,70,70,70,70
325,72,72,72,72,72
326,72,72,72,72,72
327,72,72,72,72,72
328,72,72,72,72,72
329,72,72,72,72,72
330,72,72,72,72,72
331,72,72,72,72,72
332,72,72,72,72,72
333,72,72,72,72,72
334,73,73,73,73,73
335,73,73,73,73,73
336,73,73,73,73,73
337,73,73,73,73,73
338,73,73,73,73,73
339,75,75,75,75,75
340,75,75,75,75,75
341,75,75,75,75,75
342,75,75,75,75,75
343,76,76,76,76,76
344,76,76,76,76,76
345,76,76,76,76,76
346,76,76,76,76,76
347,76,76,76,76,76
348,76,76,76,76,76
349,76,76,76,76,76
350,76,76,76,76,76
351,76,76,76,76,76
352,76,76,76,76,76
353,78,78,78,78,78
354,78,78,78,78,78
355,78,78,78,78,78
356,78,78,78,78,78
357,79,79,79,79,79
358,79,79,79,79,79
359,79,79,79,79,79
360,79,79,79,79,79
361,80,80,80,80,80
362,80,80,80,80,80
363,80,80,80,80,80
364,80,80,80,80,80
365,80,80,80,80,80
366,81,81,81,81,81
367,81,81,81,81,81
368,81,81,81,81,81
369,81,81,81,81,81
370,81,81,81,81,81
371,82,82,82,82,82
372,82,82,82,82,82
373,82,82,82,82,82
374,82,82,82,82,82
375,83,83,83,83,83
376,83,83,83,83,83
377,83,83,83,83,83
378,83,83,83,83,83
379,83,83,83,83,83
