x,R,G,B,min_over_frames_G,max_over_frames_G
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,1,1,1,1,1
5,1,1,1,1,1
6,1,1,1,1,1
7,1,1,1,1,1
8,2,2,2,2,2
9,2,2,2,2,2
10,2,2,2,2,2
11,2,2,2,2,2
12,2,2,2,2,2
13,3,3,3,3,3
14,3,3,3,3,3
15,3,3,3,3,3
16,3,3,3,3,3
17,4,4,4,4,4
18,4,4,4,4,4
19,4,4,4,4,4
20,4,4,4,4,4
21,4,4,4,4,4
22,5,5,5,5,5
23,5,5,5,5,5
24,5,5,5,5,5
25,5,5,5,5,5
26,6,6,6,6,6
27,6,6,6,6,6
28,6,6,6,6,6
29,6,6,6,6,6
30,6,6,6,6,6
31,7,7,7,7,7
32,7,7,7,7,7
33,7,7,7,7,7
34,7,7,7,7,7
35,8,8,8,8,8
36,8,8,8,8,8
37,8,8,8,8,8
38,8,8,8,8,8
39,8,8,8,8,8
40,9,9,9,9,9
41,9,9,9,9,9
42,9,9,9,9,9
43,9,9,9,9,9
44,10,10,10,10,10
45,10,10,10,10,10
46,10,10,10,10,10
47,10,10,10,10,10
48,10,10,10,10,10
49,11,11,11,11,11
50,11,11,11,11,11
51,11,11,11,11,11
52,11,11,11,11,11
53,12,12,12,12,12
54,12,12,12,12,12
55,12,12,12,12,12
56,12,12,12,12,12
57,12,12,12,12,12
58,13,13,13,13,13
59,13,13,13,13,13
60,13,13,13,13,13
61,13,13,13,13,13
62,14,14,14,14,14
63,14,14,14,14,14
64,14,14,14,14,14
65,14,14,14,14,14
66,14,14,14,14,14
67,15,15,15,15,15
68,15,15,15,15,15
69,15,15,15,15,15
70,15,15,15,15,15
71,15,15,15,15,15
72,15,15,15,15,15
73,15,15,15,15,15
74,15,15,15,15,15
75,15,15,15,15,15
76,17,17,17,17,17
77,17,17,17,17,17
78,17,17,17,17,17
79,17,17,17,17,17
80,17,17,17,17,17
81,18,18,18,18,18
82,18,18,18,18,18
83,18,18,18,18,18
84,18,18,18,18,18
85,19,19,19,19,19
86,19,19,19,19,19
87,19,19,19,19,19
88,19,19,19,19,19
89,19,19,19,19,19
90,20,20,20,20,20
91,20,20,20,20,20
92,20,20,20,20,20
93,20,20,20,20,20
94,21,21,21,21,21
95,21,21,21,21,21
96,21,21,21,21,21
97,21,21,21,21,21
98,21,21,21,21,21
99,22,22,22,22,22
100,22,22,22,22,22
101,22,22,22,22,22
102,22,22,22,22,22
103,23,23,23,23,23
104,23,23,23,23,23
105,23,23,23,23,23
106,23,23,23,23,23
107,23,23,23,23,23
108,24,24,24,24,24
109,24,24,24,24,24
110,24,24,24,24,24
111,24,24,24,24,24
112,25,25,25,25,25
113,25,25,25,25,25
114,25,25,25,25,25
115,25,25,25,25,25
116,25,25,25,25,25
117,26,26,26,26,26
118,26,26,26,26,26
119,26,26,26,26,26
120,26,26,26,26,26
121,27,27,27,27,27
122,27,27,27,27,27
123,27,27,27,27,27
124,27,27,27,27,27
125,27,27,27,27,27
126,28,28,28,28,28
127,28,28,28,28,28
128,28,28,28,28,28
129,28,28,28,28,28
130,29,29,29,29,29
131,29,29,29,29,29
132,29,29,29,29,29
133,29,29,29,29,29
134,29,29,29,29,29
135,30,30,30,30,30
136,30,30,30,30,30
137,30,30,30,30,30
138,30,30,30,30,30
139,31,31,31,31,31
140,31,31,31,31,31
141,31,31,31,31,31
142,31,31,31,31,31
143,31,31,31,31,31
144,31,31,31,31,31
145,31,31,31,31,31
146,31,31,31,31,31
147,31,31,31,31,31
148,33,33,33,33,33
149,33,33,33,33,33
150,33,33,33,33,33
151,33,33,33,33,33
152,33,33,33,33,33
153,34,34,34,34,34
154,34,34,34,34,34
155,34,34,34,34,34
156,34,34,34,34,34
157,35,35,35,35,35
158,35,35,35,35,35
159,35,35,35,35,35
160,35,35,35,35,35
161,35,35,35,35,35
162,36,36,36,36,36
163,36,36,36,36,36
164,36,36,36,36,36
165,36,36,36,36,36
166,37,37,37,37,37
167,37,37,37,37,37
168,37,37,37,37,37
169,37,37,37,37,37
170,37,37,37,37,37
171,38,38,38,38,38
172,38,38,38,38,38
173,38,38,38,38,38
174,38,38,38,38,38
175,38,38,38,38,38
176,39,39,39,39,39
177,39,39,39,39,39
178,39,39,39,39,39
179,39,39,39,39,39
180,40,40,40,40,40
181,40,40,40,40,40
182,40,40,40,40,40
183,40,40,40,40,40
184,40,40,40,40,40
185,41,41,41,41,41
186,41,41,41,41,41
187,41,41,41,41,41
188,41,41,41,41,41
189,42,42,42,42,42
190,42,42,42,42,42
191,42,42,42,42,42
192,42,42,42,42,42
193,42,42,42,42,42
194,43,43,43,43,43
195,43,43,43,43,43
196,43,43,43,43,43
197,43,43,43,43,43
198,44,44,44,44,44
199,44,44,44,44,44
200,44,44,44,44,44
201,44,44,44,44,44
202,44,44,44,44,44
203,45,45,45,45,45
204,45,45,45,45,45
205,45,45,45,45,45
206,45,45,45,45,45
207,46,46,46,46,46
208,46,46,46,46,46
209,46,46,46,46,46
210,46,46,46,46,46
211,46,46,46,46,46
212,47,47,47,47,47
213,47,47,47,47,47
214,47,47,47,47,47
215,47,47,47,47,47
216,48,48,48,48,48
217,48,48,48,48,48
218,48,48,48,48,48
219,48,48,48,48,48
220,48,48,48,48,48
221,49,49,49,49,49
222,49,49,49,49,49
223,49,49,49,49,49
224,49,49,49,49,49
225,50,50,50,50,50
226,50,50,50,50,50
227,50,50,50,50,50
228,50,50,50,50,50
229,50,50,50,50,50
230,51,51,51,51,51
231,51,51,51,51,51
232,51,51,51,51,51
233,51,51,51,51,51
234,52,52,52,52,52
235,52,52,52,52,52
236,52,52,52,52,52
237,52,52,52,52,52
238,52,52,52,52,52
239,53,53,53,53,53
240,53,53,53,53,53
241,53,53,53,53,53
242,53,53,53,53,53
243,54,54,54,54,54
244,54,54,54,54,54
245,54,54,54,54,54
246,54,54,54,54,54
247,54,54,54,54,54
248,55,55,55,55,55
249,55,55,55,55,55
250,55,55,55,55,55
251,55,55,55,55,55
252,55,55,55,55,55
253,56,56,56,56,56
254,56,56,56,56,56
255,56,56,56,56,56
256,56,56,56,56,56
257,57,57,57,57,57
258,57,57,57,57,57
259,57,57,57,57,57
260,57,57,57,57,57
261,57,57,57,57,57
262,58,58,58,58,58
263,58,58,58,58,58
264,58,58,58,58,58
265,58,58,58,58,58
266,59,59,59,59,59
267,59,59,59,59,59
268,59,59,59,59,59
269,59,59,59,59,59
270,59,59,59,59,59
271,60,60,60,60,60
272,60,60,60,60,60
273,60,60,60,60,60
274,60,60,60,60,60
275,61,61,61,61,61
276,61,61,61,61,61
277,61,61,61,61,61
278,61,61,61,61,61
279,61,61,61,61,61
280,62,62,62,62,62
281,62,62,62,62,62
282,62,62,62,62,62
283,62,62,62,62,62
284,63,63,63,63,63
285,63,63,63,63,63
286,63,63,63,63,63
287,63,63,63,63,63
288,63,63,63,63,63
289,64,64,64,64,64
290,64,64,64,64,64
291,64,64,64,64,64
292,64,64,64,64,64
293,64,64,64,64,64
294,65,65,65,65,65
295,65,65,65,65,65
296,65,65,65,65,65
297,65,65,65,65,65
298,66,66,66,66,66
299,66,66,66,66,66
300,66,66,66,66,66
301,66,66,66,66,66
302,66,66,66,66,66
303,67,67,67,67,67
304,67,67,67,67,67
305,67,67,67,67,67
306,67,67,67,67,67
307,68,68,68,68,68
308,68,68,68,68,68
309,68,68,68,68,68
310,68,68,68,68,68
311,68,68,68,68,68
312,69,69,69,69,69
313,69,69,69,69,69
314,69,69,69,69,69
315,69,69,69,69,69
316,70,70,70,70,70
317,70,70,70,70,70
318,70,70,70,70,70
319,70,70,70,70,70
320,70,70,70,70,70
321,71,71,71,71,71
322,71,71,71,71,71
323,71,71,71,71,71
324,71,71,71,71,71
325,72,72,72,72,72
326,72,72,72,72,72
327,72,72,72,72,72
328,72,72,72,72,72
329,72,72,72,72,72
330,73,73,73,73,73
331,73,73,73,73,73
332,73,73,73,73,73
333,73,73,73,73,73
334,74,74,74,74,74
335,74,74,74,74,74
336,74,74,74,74,74
337,74,74,74,74,74
338,74,74,74,74,74
339,75,75,75,75,75
340,75,75,75,75,75
341,75,75,75,75,75
342,75,75,75,75,75
343,76,76,76,76,76
344,76,76,76,76,76
345,76,76,76,76,76
346,76,76,76,76,76
347,76,76,76,76,76
348,77,77,77,77,77
349,77,77,77,77,77
350,77,77,77,77,77
351,77,77,77,77,77
352,77,77,77,77,77
353,78,78,78,78,78
354,78,78,78,78,78
355,78,78,78,78,78
356,78,78,78,78,78
357,80,80,80,80,80
358,80,80,80,80,80
359,80,80,80,80,80
360,80,80,80,80,80
361,80,80,80,80,80
362,80,80,80,80,80
363,80,80,80,80,80
364,80,80,80,80,80
365,80,80,80,80,80
366,81,81,81,81,81
367,81,81,81,81,81
368,81,81,81,81,81
369,81,81,81,81,81
370,81,81,81,81,81
371,82,82,82,82,82
372,82,82,82,82,82
373,82,82,82,82,82
374,82,82,82,82,82
375,83,83,83,83,83
376,83,83,83,83,83
377,83,83,83,83,83
378,83,83,83,83,83
379,83,83,83,83,83
