x,R,G,B,min_over_frames_G,max_over_frames_G,mean_over_frames_G
0,0,0,0,0,0,0.000
1,0,0,0,0,0,0.000
2,0,0,0,0,0,0.000
3,0,0,0,0,0,0.000
4,4,0,0,0,4,0.667
5,0,0,0,0,4,1.067
6,0,4,0,0,4,1.067
7,0,0,4,0,4,1.000
8,4,4,0,0,4,2.000
9,0,4,4,0,4,2.467
10,0,4,4,0,4,2.333
11,4,0,4,0,4,2.000
12,0,4,0,0,4,2.133
13,4,4,4,0,4,2.933
14,4,4,4,0,4,3.000
15,4,4,4,0,4,2.933
16,4,4,4,0,4,3.133
17,4,4,4,4,4,4.000
18,4,4,4,0,4,3.867
19,4,4,4,0,4,3.867
20,4,4,4,0,4,3.867
21,4,4,4,4,4,4.000
22,4,8,4,4,8,4.933
23,4,8,4,4,8,5.067
24,4,4,4,4,8,5.067
25,8,8,4,4,8,5.533
26,8,4,8,4,8,6.200
27,8,4,4,4,8,5.400
28,4,8,4,4,8,6.133
29,8,8,8,4,8,6.533
30,4,4,8,4,8,5.667
31,8,4,8,4,8,6.867
32,8,8,8,4,8,7.400
33,8,8,8,4,8,7.333
34,4,8,8,4,8,6.867
35,8,8,8,4,8,7.933
36,8,8,8,4,8,7.933
37,8,8,8,4,8,7.933
38,8,8,8,8,8,8.000
39,8,8,8,8,8,8.000
40,8,8,8,8,12,9.133
41,8,8,8,8,12,9.067
42,12,8,8,8,12,9.267
43,8,8,12,8,12,9.133
44,8,12,8,8,12,9.933
45,12,8,12,8,12,10.000
46,12,8,8,8,12,9.933
47,8,12,8,8,12,9.800
48,8,12,12,8,12,10.067
49,12,12,12,8,12,11.067
50,12,8,12,8,12,10.667
51,12,12,12,8,12,10.800
52,12,8,8,8,12,10.867
53,12,12,12,8,12,11.933
54,12,12,12,12,12,12.000
55,12,12,12,8,12,11.933
56,12,12,12,12,12,12.000
57,12,12,12,8,12,11.933
58,12,12,12,12,16,12.867
59,16,12,12,12,16,12.933
60,12,12,12,12,16,13.067
61,12,12,12,12,16,12.733
62,12,16,12,12,16,14.400
63,12,16,16,12,16,14.200
64,16,16,16,12,16,14.400
65,16,16,16,12,16,14.200
66,16,12,16,12,16,13.733
67,16,12,12,12,16,15.200
68,12,16,12,12,16,15.267
69,12,16,16,12,16,15.133
70,12,12,16,12,16,15.133
71,16,16,16,12,16,15.933
72,16,16,16,12,16,15.867
73,16,16,16,12,16,15.800
74,16,16,16,16,16,16.000
75,16,16,16,16,16,16.000
76,16,20,16,16,20,16.867
77,16,16,20,16,20,16.867
78,16,16,16,16,20,16.533
79,20,16,16,16,20,16.933
80,16,16,16,16,20,17.267
81,20,20,16,16,20,17.933
82,20,20,20,16,20,18.133
83,16,16,20,16,20,17.600
84,16,20,16,16,20,17.667
85,20,20,20,16,20,18.467
86,20,16,20,16,20,18.867
87,20,20,16,16,20,19.133
88,20,20,20,16,20,19.067
89,16,20,20,16,20,19.333
90,20,20,20,20,20,20.000
91,20,20,20,16,20,19.933
