nit,expected_pq10,scrgb_iflip_G_mode,scrgb_iflip_G_mean60,hdr10_iflip_G_mode,hdr10_iflip_G_mean60
2,192.5,192,192.8,192,193.2
5,253.5,252,253.8,256,254.3
10,306.6,308,306.8,308,307.3
20,365.2,364,365.4,364,365.3
40,428.9,428,429.2,428,429.3
80,497.0,496,497.3,496,497.2
120,538.6,540,539.1,540,538.5
160,568.7,568,569.3,568,569.6
203,594.0,596,594.6,596,594.6
300,636.2,636,636.8,636,636.6
400,667.6,668,668.1,668,667.6
600,712.3,712,712.9,712,712.6
800,744.3,744,744.9,744,744.6
1000,769.1,768,769.7,768,769.6
1500,814.4,816,815.0,816,814.6
2000,846.5,848,847.1,848,847.7
