x,R,G,B,min_over_frames_G,max_over_frames_G,mean_over_frames_G
0,0,0,0,0,0,0.000
1,0,0,0,0,4,0.467
2,0,0,0,0,4,0.467
3,0,0,0,0,4,0.467
4,0,0,0,0,4,0.933
5,0,0,0,0,4,0.867
6,0,0,4,0,4,1.333
7,0,0,4,0,4,1.067
8,4,0,0,0,4,1.467
9,0,4,4,0,4,1.600
10,0,0,4,0,4,2.467
11,0,0,4,0,4,2.133
12,4,4,0,0,4,2.333
13,0,4,4,0,4,2.533
14,4,0,4,0,4,3.000
15,4,4,4,0,4,3.133
16,4,4,0,0,4,3.533
17,4,4,4,0,4,3.600
18,4,4,4,0,4,3.867
19,4,4,4,4,4,4.000
20,4,4,4,4,8,4.067
21,4,4,4,4,8,4.533
22,4,4,4,4,8,4.600
23,8,8,4,4,8,4.800
24,4,4,8,4,8,5.200
25,4,4,4,4,8,5.267
26,8,4,4,4,8,5.800
27,4,8,4,4,8,5.400
28,4,4,8,4,8,6.200
29,8,8,4,4,8,6.600
30,8,8,8,4,8,6.533
31,8,4,4,4,8,6.867
32,4,4,4,4,8,7.200
33,8,8,8,4,8,7.267
34,8,8,8,4,8,7.200
35,8,8,8,4,8,7.733
36,8,8,8,8,8,8.000
37,8,8,8,8,8,8.000
38,8,8,8,8,12,8.133
39,8,8,8,8,12,8.400
40,8,8,8,8,12,8.467
41,8,8,8,8,12,8.333
42,8,8,8,8,12,8.933
43,8,8,12,8,12,9.467
44,12,12,8,8,12,9.267
45,8,8,12,8,12,9.867
46,12,12,8,8,12,9.800
47,8,8,12,8,12,9.800
48,8,12,8,8,12,10.200
49,8,12,12,8,12,10.933
50,12,8,12,8,12,10.933
51,12,12,12,8,12,11.333
52,12,12,12,8,12,11.533
53,12,12,12,8,12,11.533
54,12,12,12,8,12,11.533
55,12,12,12,12,12,12.000
56,12,12,12,12,16,12.333
57,12,12,12,12,16,12.467
58,12,12,12,12,16,12.733
59,16,12,12,12,16,13.000
60,12,12,12,12,16,13.067
61,16,12,12,12,16,13.267
62,12,16,16,12,16,13.467
63,16,16,12,12,16,13.867
64,12,12,16,12,16,13.933
65,16,16,12,12,16,14.267
66,16,16,16,12,16,14.400
67,12,16,16,12,16,14.533
68,16,16,16,12,16,15.067
69,16,16,16,12,16,15.067
70,16,16,16,12,16,15.267
71,16,16,12,12,16,15.800
72,16,16,16,12,16,15.733
73,16,16,12,12,16,15.800
74,16,16,16,16,20,16.067
75,16,16,16,16,20,16.467
76,16,16,16,16,20,16.533
77,16,16,16,16,20,16.667
78,20,20,16,16,20,17.267
79,16,16,20,16,20,17.533
80,20,16,16,16,20,17.000
81,16,20,16,16,20,17.733
82,20,20,20,16,20,17.867
83,20,16,20,16,20,17.933
84,20,20,16,16,20,18.267
85,20,20,20,16,20,18.400
86,16,20,20,16,20,19.267
87,16,20,20,16,20,19.067
88,20,20,20,16,20,19.133
89,16,20,20,16,20,19.467
90,20,20,20,16,20,19.933
91,20,20,20,16,20,19.867
92,20,20,20,20,24,20.133
93,20,20,20,20,24,20.200
94,20,20,24,20,24,20.467
95,24,20,20,20,24,20.733
96,20,20,20,20,24,21.200
97,20,20,20,20,24,21.133
98,20,20,20,20,24,21.400
99,24,24,20,20,24,21.867
100,20,24,24,20,24,22.533
101,24,20,24,20,24,22.200
102,24,20,20,20,24,22.267
